Key,File,Type,UsedInMainMenu,english
eventAECDoomlordArrival_Minion_msg,,,false,"Doomlord minions are closing in — get ready!"
questAECDoomlordHordeGrenadier_name,quests,,false,"[FF4500]Grenadier Horde[-]"
questAECDoomlordHordeGrenadier_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordeGrenadier_description,quests,,false,"Activate the rally, place the signal lure, then eliminate three waves of Doomlord Grenadiers."
questAECDoomlordHordeGrenadier_offer,quests,,false,"Intel says Doomlord is sending Grenadier squads your way. Activate the rally, place the signal lure, then hold for three waves. Think you can handle that?"
questAECDoomlordHordeGrenadier_statement,quests,,false,"I'll arm the signal lure and wipe out all three Grenadier waves."
questAECDoomlordHordeGrenadier_response,quests,,false,"AEC HORDE - [FF4500]Grenadier Horde[-]"
questAECDoomlordHordeGrenadier_completion,quests,,false,"Not bad. Those Grenadiers won't be throwing any more surprises."
aecQuestSignalLure,blocks,Block,false,"AEC Signal Lure"
aecQuestSignalLureDesc,blocks,Block Desc,false,"Quest item. Place this lure after activating the rally point to draw the enemy waves to your position."
aecQuestRelay,blocks,Block,false,"[FFD700]AEC[-] Contract Relay"
aecQuestRelayDesc,blocks,Block Desc,false,"A salvaged radio converted into an AEC contract terminal. Use it to summon the Huntmaster and access AEC-only contracts."
dialogAECQuestGiverStart,dialogs,,false,"State your echelon. I only handle AEC contracts."
dialogAECQuestGiverQuest,dialogs,,false,"Show me the AEC contracts."
dialogAECQuestGiverQuestTier1,dialogs,,false,"Show me the Tier 1 AEC contracts."
dialogAECQuestGiverQuestTier2,dialogs,,false,"Show me the Tier 2 AEC contracts."
dialogAECQuestGiverQuestTier3,dialogs,,false,"Show me the Tier 3 AEC contracts."
dialogAECQuestGiverQuestTier4,dialogs,,false,"Show me the Tier 4 AEC contracts."
dialogAECQuestGiverQuestTier5,dialogs,,false,"Show me the Tier 5 AEC contracts."
dialogAECQuestGiverQuestTier6,dialogs,,false,"Show me the Tier 6 AEC contracts."
dialogAECQuestGiverQuestList,dialogs,,false,"Pick your echelon. The deepest page also carries the legendary contracts."
dialogAECQuestGiverQuestInProgress,dialogs,,false,"I'm already on a contract."
dialogAECQuestGiverQuestInProgressNext,dialogs,,false,"Then finish it and come back. I do not stack AEC work."
dialogAECQuestGiverDisableQuesting,dialogs,,false,"No contracts right now."
dialogAECQuestGiverDisableQuestingNext,dialogs,,false,"Questing is currently blocked for you. Clear that first."
npcAecQuestGiver,entityclasses,Entity,false,"AEC Huntmaster"
AECQuestGiverNPC,entityclasses,Entity,false,"AEC Huntmaster"
questAECDoomlordHordeRocket_name,quests,,false,"[FF4500]Rocket Corps[-]"
questAECDoomlordHordeRocket_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordeRocket_description,quests,,false,"Activate the rally, place the lure, then break three reduced waves of Doomlord Rocket troopers. Stay spread out."
questAECDoomlordHordeRocket_offer,quests,,false,"Rocket troops incoming. Trigger the rally, drop the lure, and prepare for three reduced but brutal waves. Do not cluster."
questAECDoomlordHordeRocket_statement,quests,,false,"and neutralize the Rocket Corps."
questAECDoomlordHordeRocket_response,quests,,false,"AEC HORDE - [FF4500]Rocket Corps[-]"
questAECDoomlordHordeRocket_completion,quests,,false,"Good job. Fewer targets but that blast radius doesn't mess around."
questAECDoomlordHordePistol_name,quests,,false,"[FF4500]Pistol Squad[-]"
questAECDoomlordHordePistol_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordePistol_description,quests,,false,"Activate the rally, place the lure, then clear three waves of Doomlord Pistol troopers. Fast and numerous."
questAECDoomlordHordePistol_offer,quests,,false,"Pistol squads are deploying in your sector. Trigger the rally, set the lure, and survive three waves."
questAECDoomlordHordePistol_statement,quests,,false,"Go in, activate the rally, place the lure, and clear all three Pistol waves."
questAECDoomlordHordePistol_response,quests,,false,"AEC HORDE - [FF4500]Pistol Squad[-]"
questAECDoomlordHordePistol_completion,quests,,false,"Pistol squad neutralized. Nice work."
questAECDoomlordHordeShotgun_name,quests,,false,"[FF4500]Shotgun Rush[-]"
questAECDoomlordHordeShotgun_subtitle,quests,,false,"Doomlord T3 Defense"
questAECDoomlordHordeShotgun_description,quests,,false,"Clear the POI first, then hold against three waves of Doomlord Shotgun troopers."
questAECDoomlordHordeShotgun_offer,quests,,false,"Shotgun rush is inbound at a local site. Defend the position across three waves."
questAECDoomlordHordeShotgun_statement,quests,,false,"Get to the site and hold against the Shotgun rush."
questAECDoomlordHordeShotgun_response,quests,,false,"AEC HORDE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordeShotgun_completion,quests,,false,"The rush is over. Excellent defense."
questAECDoomlordHordeSniper_name,quests,,false,"[FF4500]Sniper Nest[-]"
questAECDoomlordHordeSniper_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordeSniper_description,quests,,false,"Activate the rally, place the lure, then clear three waves of Doomlord Snipers. Stay mobile and end them."
questAECDoomlordHordeSniper_offer,quests,,false,"High-value snipers are digging in. Trigger the rally, set the lure, and clear three waves before they lock down the area."
questAECDoomlordHordeSniper_statement,quests,,false,"Move in, activate the rally, place the lure, and clear the Sniper Nest across three waves."
questAECDoomlordHordeSniper_response,quests,,false,"AEC HORDE - [FF4500]Sniper Nest[-]"
questAECDoomlordHordeSniper_completion,quests,,false,"Nest cleared. Good work staying on the move."
questAECDoomlordHordeMagnum_name,quests,,false,"[FF4500]Magnum Guard[-]"
questAECDoomlordHordeMagnum_subtitle,quests,,false,"Doomlord T3 Defense"
questAECDoomlordHordeMagnum_description,quests,,false,"Clear the POI first, then hold against three waves of Doomlord Magnum Guards."
questAECDoomlordHordeMagnum_offer,quests,,false,"Magnum Guard deploying on a site. Three tough waves — hold your ground."
questAECDoomlordHordeMagnum_statement,quests,,false,"Defend the site against three Magnum Guard waves."
questAECDoomlordHordeMagnum_response,quests,,false,"AEC HORDE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordeMagnum_completion,quests,,false,"Magnum Guard repelled. Well held."
questAECDoomlordHordeKnife_name,quests,,false,"[FF4500]Knife Runners[-]"
questAECDoomlordHordeKnife_subtitle,quests,,false,"Doomlord T3 Defense"
questAECDoomlordHordeKnife_description,quests,,false,"Clear the POI first, then hold against three waves of Doomlord Knife Runners."
questAECDoomlordHordeKnife_offer,quests,,false,"Knife runners inbound at a local site. Three waves of close-quarters maniacs."
questAECDoomlordHordeKnife_statement,quests,,false,"Defend the site against three waves of Knife Runners."
questAECDoomlordHordeKnife_response,quests,,false,"AEC HORDE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordeKnife_completion,quests,,false,"Not a scratch. Those runners never had a chance."
questAECDoomlordHordeDemo_name,quests,,false,"[FFAA00]Demo Squad[-]"
questAECDoomlordHordeDemo_subtitle,quests,,false,"Doomlord T4 Mixed Horde"
questAECDoomlordHordeDemo_description,quests,,false,"Activate the rally, place the lure, then survive three reduced waves of Grenadiers and Rockets. Every single target is lethal."
questAECDoomlordHordeDemo_offer,quests,,false,"Demo squad deployment. Trigger the rally, drop the lure, and brace for mixed grenades and rockets. Keep your distance."
questAECDoomlordHordeDemo_statement,quests,,false,"Activate the rally, place the lure, and neutralize the Demo Squad across three waves."
questAECDoomlordHordeDemo_response,quests,,false,"AEC HORDE - [FFAA00]Demo Squad[-]"
questAECDoomlordHordeDemo_completion,quests,,false,"Demo squad eliminated. Still got all your fingers?"
questAECDoomlordHordeFrontline_name,quests,,false,"[FFAA00]Frontline Assault[-]"
questAECDoomlordHordeFrontline_subtitle,quests,,false,"Doomlord T4 Defense"
questAECDoomlordHordeFrontline_description,quests,,false,"Clear the POI first, then hold against three frontline waves of Doomlord Shotgun and Knife troops."
questAECDoomlordHordeFrontline_offer,quests,,false,"Close-range assault: Shotguns and Knives together. The site won't last long without you."
questAECDoomlordHordeFrontline_statement,quests,,false,"Hold the site against three Frontline Assault waves."
questAECDoomlordHordeFrontline_response,quests,,false,"AEC HORDE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordeFrontline_completion,quests,,false,"Frontline repelled. Brutal fighting. Well done."
questAECDoomlordHordeOverwatch_name,quests,,false,"[FFAA00]Overwatch[-]"
questAECDoomlordHordeOverwatch_subtitle,quests,,false,"Doomlord T4 Mixed Horde"
questAECDoomlordHordeOverwatch_description,quests,,false,"Activate the rally, place the lure, then dismantle three waves of Snipers and Magnums in Overwatch formation."
questAECDoomlordHordeOverwatch_offer,quests,,false,"Overwatch team spotted. Trigger the rally, set the lure, and watch your sight lines through three waves."
questAECDoomlordHordeOverwatch_statement,quests,,false,"Activate the rally, place the lure, and dismantle the Overwatch formation across three waves."
questAECDoomlordHordeOverwatch_response,quests,,false,"AEC HORDE - [FFAA00]Overwatch[-]"
questAECDoomlordHordeOverwatch_completion,quests,,false,"Overwatch neutralized. Outstanding target acquisition."
questAECDoomlordHordeFireTeam_name,quests,,false,"[FFAA00]Fire Team[-]"
questAECDoomlordHordeFireTeam_subtitle,quests,,false,"Doomlord T4 Mixed Horde"
questAECDoomlordHordeFireTeam_description,quests,,false,"Activate the rally, place the lure, then eliminate three waves of Pistols and Magnums operating as a coordinated fire team."
questAECDoomlordHordeFireTeam_offer,quests,,false,"Fire team inbound. Trigger the rally, drop the lure, and hold through three waves of coordinated pressure."
questAECDoomlordHordeFireTeam_statement,quests,,false,"Activate the rally, place the lure, and eliminate the Fire Team across three waves."
questAECDoomlordHordeFireTeam_response,quests,,false,"AEC HORDE - [FFAA00]Fire Team[-]"
questAECDoomlordHordeFireTeam_completion,quests,,false,"Fire Team down. Clean execution."
questAECDoomlordHunt_name,quests,,false,"[FF0000]HUNT: The Doomlord[-]"
questAECDoomlordHunt_subtitle,quests,,false,"Doomlord T5 Boss Hunt"
questAECDoomlordHunt_description,quests,,false,"Activate the rally, place the lure, survive three mixed waves of Doomlord elites, then face Demolishman himself."
questAECDoomlordHunt_offer,quests,,false,"Big contract. Trigger the rally, set the lure, survive three waves of mixed elite troops, then face Demolishman yourself."
questAECDoomlordHunt_statement,quests,,false,"survive three waves, then kill Demolishman himself."
questAECDoomlordHunt_response,quests,,false,"AEC BOSS FIGHT - [FF0000]HUNT: The Doomlord[-]"
questAECDoomlordHunt_completion,quests,,false,"Impressive. Demolishman is dead. The Doomlord era is over."
questAECDoomlordHunt_obj_kill,quests,,false,"Kill the Doomlord: Demolishman"
questAECDoomlordSiege_name,quests,,false,"[FF0000]SIEGE: The Doomlord[-]"
questAECDoomlordSiege_subtitle,quests,,false,"Doomlord T5 Boss Siege"
questAECDoomlordSiege_description,quests,,false,"Clear the POI first, then survive three waves of Doomlord elites and kill Demolishman when he arrives."
questAECDoomlordSiege_offer,quests,,false,"Demolishman is personally leading a siege. Hold the position through three waves and take him down when he shows."
questAECDoomlordSiege_statement,quests,,false,"Hold the fortified site against three waves then kill Demolishman."
questAECDoomlordSiege_response,quests,,false,"AEC BOSS FIGHT ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordSiege_completion,quests,,false,"Siege broken. Demolishman is dead. Remarkable."
questAECDoomlordSiege_obj_kill,quests,,false,"Kill the Doomlord: Demolishman"
questAECDoomlord_obj_wave1,quests,,false,"Wave 1: Eliminate Doomlord Forces"
questAECDoomlord_obj_wave2,quests,,false,"Wave 2: Eliminate Doomlord Forces"
questAECDoomlord_obj_wave3,quests,,false,"Wave 3: Eliminate Doomlord Forces"
itemAECDoomlordHelmet,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Helmet[-]"
itemAECDoomlordChestplate,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Chestplate[-]"
itemAECDoomlordGauntlet,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Gauntlet[-]"
itemAECDoomlordShoulder,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Shoulder Armor[-]"
itemAECDoomlordCore,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Energy Core[-]"
itemAECDoomlordHordeBundle,,,false,"[FF4500]AEC[-] [FFD700]Doomlord Horde Bundle[-]"
itemAECDoomlordAssaultBundle,,,false,"[FF4500]AEC[-] [FFD700]Doomlord Assault Bundle[-]"
itemAECDoomlordHuntBundle,,,false,"[FF4500]AEC[-] [FFD700]Doomlord Hunt Bundle[-]"
itemAECDoomlordSiegeBundle,,,false,"[FF4500]AEC[-] [FFD700]Doomlord Siege Bundle[-]"
itemAECDoomlordContract_Grenadier,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Grenadier Horde[-]"
itemAECDoomlordContract_Rocket,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Rocket Horde[-]"
itemAECDoomlordContract_Pistol,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Pistol Horde[-]"
itemAECDoomlordContract_Shotgun,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Shotgun Defense[-]"
itemAECDoomlordContract_Sniper,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Sniper Horde[-]"
itemAECDoomlordContract_Magnum,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Magnum Defense[-]"
itemAECDoomlordContract_Knife,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Knife Defense[-]"
itemAECDoomlordContract_Demo,,,false,"[FF0000]AEC 4★ |[-] [FF9900]Doomlord Contract: Demolition Squad[-]"
itemAECDoomlordContract_Frontline,,,false,"[FF0000]AEC 4★ |[-] [FF9900]Doomlord Contract: Frontline Assault[-]"
itemAECDoomlordContract_Overwatch,,,false,"[FF0000]AEC 4★ |[-] [FF9900]Doomlord Contract: Overwatch[-]"
itemAECDoomlordContract_FireTeam,,,false,"[FF0000]AEC 4★ |[-] [FF9900]Doomlord Contract: Fire Team[-]"
itemAECDoomlordContract_Hunt,,,false,"[FF0000]AEC 5★ |[-] [FF0000]Doomlord Contract: Boss Hunt[-]"
itemAECDoomlordContract_Siege,,,false,"[FF0000]AEC 5★ |[-] [FF0000]Doomlord Contract: Boss Siege[-]"
itemAECDoomlordHelmet_desc,,,false,"Doomlord Demolishman's armored helmet. A valued war trophy."
itemAECDoomlordChestplate_desc,,,false,"The chest armor of the Doomlord. Forged for one purpose: surviving everything."
itemAECDoomlordGauntlet_desc,,,false,"A combat gauntlet from Doomlord's elite forces."
itemAECDoomlordShoulder_desc,,,false,"Heavy shoulder armor stripped from a Doomlord trooper."
itemAECDoomlordCore_desc,,,false,"The energy core ripped from Demolishman himself. Extremely rare."
itemAECDoomlordHordeBundle_desc,,,false,"A reward cache from Doomlord Horde contracts. Contains useful supplies and possible trophies."
itemAECDoomlordAssaultBundle_desc,,,false,"An assault-grade reward bundle from Doomlord mixed-team contracts."
itemAECDoomlordHuntBundle_desc,,,false,"Elite hunting reward from a Doomlord Hunt contract. Chance for rare trophies."
itemAECDoomlordSiegeBundle_desc,,,false,"Siege reward bundle from a Doomlord Siege contract. Best chance for the Core."
itemAECDoomlordContract_Grenadier_desc,,,false,"Contract: Hunt down three waves of Doomlord Grenadiers."
itemAECDoomlordContract_Rocket_desc,,,false,"Contract: Neutralize three reduced waves of Doomlord Rocket troopers."
itemAECDoomlordContract_Pistol_desc,,,false,"Contract: Eliminate three waves of Doomlord Pistol troopers."
itemAECDoomlordContract_Shotgun_desc,,,false,"Contract: Defend a location against three waves of Doomlord Shotgun troopers."
itemAECDoomlordContract_Sniper_desc,,,false,"Contract: Clear three waves of Doomlord Snipers from a nest."
itemAECDoomlordContract_Magnum_desc,,,false,"Contract: Hold a position against three Doomlord Magnum Guard waves."
itemAECDoomlordContract_Knife_desc,,,false,"Contract: Stop three waves of Doomlord Knife Runners from overrunning a site."
itemAECDoomlordContract_Demo_desc,,,false,"Contract: Survive three waves of the explosive Demo Squad (Grenadiers + Rockets)."
itemAECDoomlordContract_Frontline_desc,,,false,"Contract: Defend a position against three waves of Frontline assault troops (Shotgun + Knife)."
itemAECDoomlordContract_Overwatch_desc,,,false,"Contract: Break through three waves of Overwatch suppression (Sniper + Magnum)."
itemAECDoomlordContract_FireTeam_desc,,,false,"Contract: Engage and eliminate three waves of coordinated Fire Teams (Pistol + Magnum)."
itemAECDoomlordContract_Hunt_desc,,,false,"Contract: Survive three mixed elite waves then kill Doomlord Demolishman himself."
itemAECDoomlordContract_Siege_desc,,,false,"Contract: Defend a fortified location through three elite waves then slay Demolishman."
eventAECDoomlordArrival_Grenadier_msg,,,false,"Grenadier squad closing in — watch for grenades!"
eventAECDoomlordArrival_Rocket_msg,,,false,"Rocket troopers inbound — find cover NOW!"
eventAECDoomlordArrival_Pistol_msg,,,false,"Pistol squad converging on your position!"
eventAECDoomlordArrival_Shotgun_msg,,,false,"Shotgun rush inbound — they won't stop!"
eventAECDoomlordArrival_Sniper_msg,,,false,"Sniper nest established. Watch your head!"
eventAECDoomlordArrival_Magnum_msg,,,false,"Magnum guard deploying — heavy fire incoming!"
eventAECDoomlordArrival_Knife_msg,,,false,"Knife runners inbound — get them before they reach you!"
eventAECDoomlordArrival_Demo_msg,,,false,"Demo squad incoming — Grenadiers AND Rockets. Spread out!"
eventAECDoomlordArrival_Frontline_msg,,,false,"Frontline assault — Shotgun and Knife troops converging!"
eventAECDoomlordArrival_Overwatch_msg,,,false,"Overwatch deployed — Snipers and Magnums on high ground!"
eventAECDoomlordArrival_FireTeam_msg,,,false,"Fire team deployed — Pistols and Magnums closing in!"
eventAECDoomlordArrival_Hunt_msg,,,false,"You have entered Doomlord territory. Survive to face him!"
eventAECDoomlordArrival_Siege_msg,,,false,"Doomlord forces are laying siege! Hold position!"
eventAECDoomlordWave1_msg,,,false,"WAVE 1: Doomlord forces advancing!"
eventAECDoomlordWave2_msg,,,false,"WAVE 2: More Doomlord troops incoming!"
eventAECDoomlordWave3_msg,,,false,"WAVE 3: Final wave — finish them!"
eventAECDoomlordBossSpawn_msg,,,false,"THE DOOMLORD ARRIVES — Demolishman himself is here!"
questAECDoomlordHordeShotgunWild_name,quests,,false,"[FF4500]Shotgun Rush — Open Field[-]"
questAECDoomlordHordeShotgunWild_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordeShotgunWild_description,quests,,false,"Activate the rally, place the lure, then stop three waves of Doomlord Shotgun troopers in open terrain."
questAECDoomlordHordeShotgunWild_offer,quests,,false,"Shotgun rush in the open. Trigger the rally, set the lure, and hold through three waves."
questAECDoomlordHordeShotgunWild_statement,quests,,false,"and wipe out three waves of Shotgun troopers."
questAECDoomlordHordeShotgunWild_response,quests,,false,"AEC HORDE - [FF4500]Shotgun Rush — Open Field[-]"
questAECDoomlordHordeShotgunWild_completion,quests,,false,"Open field cleared. Nice work."
questAECDoomlordHordeMagnumWild_name,quests,,false,"[FF4500]Magnum Patrol[-]"
questAECDoomlordHordeMagnumWild_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordeMagnumWild_description,quests,,false,"Activate the rally, place the lure, then intercept three waves of Magnum Guard units patrolling in the open."
questAECDoomlordHordeMagnumWild_offer,quests,,false,"Magnum patrol spotted in the open. Trigger the rally, drop the lure, and prepare for three waves of heavy firepower."
questAECDoomlordHordeMagnumWild_statement,quests,,false,"and wipe three Magnum patrol waves."
questAECDoomlordHordeMagnumWild_response,quests,,false,"AEC HORDE - [FF4500]Magnum Patrol[-]"
questAECDoomlordHordeMagnumWild_completion,quests,,false,"Magnum patrol eliminated. Well done."
questAECDoomlordHordeKnifeWild_name,quests,,false,"[FF4500]Knife Ambush[-]"
questAECDoomlordHordeKnifeWild_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordeKnifeWild_description,quests,,false,"Activate the rally, place the lure, then survive three waves of Doomlord Knife Runners in the open."
questAECDoomlordHordeKnifeWild_offer,quests,,false,"Knife runners in the open. Trigger the rally, set the lure, and keep moving through three fast waves."
questAECDoomlordHordeKnifeWild_statement,quests,,false,"and cut down three waves of Knife Runners."
questAECDoomlordHordeKnifeWild_response,quests,,false,"AEC HORDE - [FF4500]Knife Ambush[-]"
questAECDoomlordHordeKnifeWild_completion,quests,,false,"Ambush broken. Those runners never had a chance."
questAECDoomlordHordeGrenadierPOI_name,quests,,false,"[FF4500]Grenadier Defense[-]"
questAECDoomlordHordeGrenadierPOI_subtitle,quests,,false,"Doomlord T3 Defense"
questAECDoomlordHordeGrenadierPOI_description,quests,,false,"Clear the POI first, then hold against waves of Doomlord Grenadiers."
questAECDoomlordHordeGrenadierPOI_offer,quests,,false,"Grenadiers are hitting a site. Three waves. Spread out — don't cluster."
questAECDoomlordHordeGrenadierPOI_statement,quests,,false,"Defend the site against three Grenadier waves."
questAECDoomlordHordeGrenadierPOI_response,quests,,false,"AEC POI DEFENSE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordeGrenadierPOI_completion,quests,,false,"Position defended. Grenadiers neutralized."
questAECDoomlordHordeRocketPOI_name,quests,,false,"[FF4500]Rocket Defense[-]"
questAECDoomlordHordeRocketPOI_subtitle,quests,,false,"Doomlord T3 Defense"
questAECDoomlordHordeRocketPOI_description,quests,,false,"Clear the POI first, then hold against waves of Doomlord Rocket troopers."
questAECDoomlordHordeRocketPOI_offer,quests,,false,"Rockets incoming at a site. Fewer of them but each one can level the place. Three waves."
questAECDoomlordHordeRocketPOI_statement,quests,,false,"Defend the site against three Rocket waves."
questAECDoomlordHordeRocketPOI_response,quests,,false,"AEC POI DEFENSE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordeRocketPOI_completion,quests,,false,"Site held. Rocket Corps repelled."
questAECDoomlordHordePistolPOI_name,quests,,false,"[FF4500]Pistol Defense[-]"
questAECDoomlordHordePistolPOI_subtitle,quests,,false,"Doomlord T3 Defense"
questAECDoomlordHordePistolPOI_description,quests,,false,"Clear the POI first, then hold against waves of Doomlord Pistol squads."
questAECDoomlordHordePistolPOI_offer,quests,,false,"Pistol squads converging on a site. Three waves of fast movers. Get there quickly."
questAECDoomlordHordePistolPOI_statement,quests,,false,"Defend the site against three Pistol Squad waves."
questAECDoomlordHordePistolPOI_response,quests,,false,"AEC POI DEFENSE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordePistolPOI_completion,quests,,false,"Pistol squads repelled. Position secure."
questAECDoomlordHordeSniperPOI_name,quests,,false,"[FF4500]Sniper Defense[-]"
questAECDoomlordHordeSniperPOI_subtitle,quests,,false,"Doomlord T3 Defense"
questAECDoomlordHordeSniperPOI_description,quests,,false,"Clear the POI first, then hold against waves of Doomlord Snipers."
questAECDoomlordHordeSniperPOI_offer,quests,,false,"Snipers are locking down a site. Three waves. Keep your head down."
questAECDoomlordHordeSniperPOI_statement,quests,,false,"Defend the site against three Sniper waves."
questAECDoomlordHordeSniperPOI_response,quests,,false,"AEC POI DEFENSE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordeSniperPOI_completion,quests,,false,"Snipers cleared. Site secured."
questAECDoomlordHordeMinionPOI_name,quests,,false,"[FF4500]Minion Defense[-]"
questAECDoomlordHordeMinionPOI_subtitle,quests,,false,"Doomlord T3 Defense"
questAECDoomlordHordeMinionPOI_description,quests,,false,"Clear the POI first, then hold against waves of Doomlord minions."
questAECDoomlordHordeMinionPOI_offer,quests,,false,"Minion swarm at a site. Three waves. Basic enemies but they come in numbers."
questAECDoomlordHordeMinionPOI_statement,quests,,false,"Defend the site against three Doomlord Minion waves."
questAECDoomlordHordeMinionPOI_response,quests,,false,"AEC POI DEFENSE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordeMinionPOI_completion,quests,,false,"Minions repelled. Site held."
itemAECDoomlordContract_ShotgunWild,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Shotgun Horde[-]"
itemAECDoomlordContract_ShotgunWild_desc,,,false,"Contract: Eliminate three waves of Doomlord Shotgun troopers in open terrain."
itemAECDoomlordContract_MagnumWild,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Magnum Horde[-]"
itemAECDoomlordContract_MagnumWild_desc,,,false,"Contract: Hunt down three waves of Doomlord Magnum patrols in the open."
itemAECDoomlordContract_KnifeWild,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Knife Horde[-]"
itemAECDoomlordContract_KnifeWild_desc,,,false,"Contract: Destroy three waves of Doomlord Knife Runner ambushes in open terrain."
itemAECDoomlordContract_GrenadierPOI,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Grenadier Defense[-]"
itemAECDoomlordContract_GrenadierPOI_desc,,,false,"Contract: Defend a location against three waves of Doomlord Grenadiers."
itemAECDoomlordContract_RocketPOI,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Rocket Defense[-]"
