Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
buffDefensasFuertesDesc,buffs,Buff,,,Strong immune system. +7.5% infection resistance.,,,Sistema inmune fuerte. +7.5% resistencia a infecciones.,,,,,,,,,,
buffCoagulacionRapidaDesc,buffs,Buff,,,Blood clots quickly. +7.5% bleeding resistance.,,,Tu sangre coagula rapido. +7.5% resistencia a sangrado.,,,,,,,,,,
buffManosHabilesDesc,buffs,Buff,,,Skilled hands. +4% crafting tier.,,,Manos diestras. +4% calidad/velocidad de crafteo.,,,,,,,,,,
buffEspaldaFuerteDesc,buffs,Buff,,,Endures physical effort. +4% stamina regen.,,,Aguantas el esfuerzo. +4% regeneracion de resistencia.,,,,,,,,,,
buffMenteDespiertaDesc,buffs,Buff,,,Quick learner. +4% experience gain.,,,Aprendes rapido. +4% ganancia de experiencia.,,,,,,,,,,
buffCarismaticoDesc,buffs,Buff,,,Persuasive with traders. +4% sell prices.,,,Persuades a los comerciantes. +4% precios de venta.,,,,,,,,,,
buffEquilibrioDesc,buffs,Buff,,,Excellent balance. +15% overall mobility.,,,Equilibrio excepcional. +15% movilidad general.,,,,,,,,,,
moodLuckyName,buffs,Buff,,,Lucky Day,,,Dia de Suerte,,,,,,,,,,
moodLuckyDesc,buffs,Buff,,,Today luck is on your side. +10% loot drop chance.,,,Hoy la suerte esta de tu lado. +10% probabilidad de loot.,,,,,,,,,,
moodEnergeticName,buffs,Buff,,,Energetic Day,,,Dia Energico,,,,,,,,,,
moodEnergeticDesc,buffs,Buff,,,Feeling unusually energetic today. +10% stamina regen.,,,Hoy te sentis con mas energia. +10% regen de resistencia.,,,,,,,,,,
moodFocusedName,buffs,Buff,,,Focused Day,,,Dia Concentrado,,,,,,,,,,
moodFocusedDesc,buffs,Buff,,,Mental clarity today. +10% experience gain.,,,Claridad mental hoy. +10% ganancia de experiencia.,,,,,,,,,,
moodSatiatedName,buffs,Buff,,,Well-Fed Day,,,Dia Saciado,,,,,,,,,,
moodSatiatedDesc,buffs,Buff,,,Your body holds food better today. +10% maximum food.,,,Tu cuerpo retiene mejor los alimentos. +10% comida maxima.,,,,,,,,,,
moodInspiredName,buffs,Buff,,,Inspired Day,,,Dia Inspirado,,,,,,,,,,
moodInspiredDesc,buffs,Buff,,,Your hands work with precision today. +10% crafting tier.,,,Tus manos trabajan con precision. +10% calidad de crafteo.,,,,,,,,,,
moodWarmthName,buffs,Buff,,,Warm Blood Day,,,Dia de Sangre Caliente,,,,,,,,,,
moodWarmthDesc,buffs,Buff,,,Body temperature is well-regulated. +10 cold and heat resistance.,,,Tu cuerpo regula bien la temperatura. +10 a resistencia al frio y calor.,,,,,,,,,,
moodUnluckyName,buffs,Buff,,,Unlucky Day,,,Dia de Mala Suerte,,,,,,,,,,
moodUnluckyDesc,buffs,Buff,,,Luck is not on your side today. -10% loot drop chance.,,,La suerte no te acompana hoy. -10% probabilidad de loot.,,,,,,,,,,
moodSluggishName,buffs,Buff,,,Sluggish Day,,,Dia Aletargado,,,,,,,,,,
moodSluggishDesc,buffs,Buff,,,Heavy legs today. -5% run speed.,,,Hoy te pesan las piernas. -5% velocidad de carrera.,,,,,,,,,,
moodDistractedName,buffs,Buff,,,Distracted Day,,,Dia Distraido,,,,,,,,,,
moodDistractedDesc,buffs,Buff,,,Hard to focus today. -10% experience gain.,,,Te cuesta concentrarte hoy. -10% ganancia de experiencia.,,,,,,,,,,
moodHungryName,buffs,Buff,,,Hungry Day,,,Dia Hambriento,,,,,,,,,,
moodHungryDesc,buffs,Buff,,,Stomach feels small today. -10% maximum food.,,,Hoy tu estomago se siente chico. -10% comida maxima.,,,,,,,,,,
moodGloomyName,buffs,Buff,,,Gloomy Day,,,Dia Sombrio,,,,,,,,,,
moodGloomyDesc,buffs,Buff,,,Low spirits affect your stamina. -10% stamina regen.,,,Estado de animo bajo. -10% regen de resistencia.,,,,,,,,,,
moodColdName,buffs,Buff,,,Chilly Day,,,Dia Friolento,,,,,,,,,,
moodColdDesc,buffs,Buff,,,Your body struggles to keep warm. -10 cold resistance.,,,Te cuesta mantener el calor. -10 a resistencia al frio.,,,,,,,,,,
